#,Ім'я,І,Різн.,О
1,ДЮСШ Баришівка,4,+9,8
2,Зазим'є,3,+5,7
3,Атлант-2 (Бориспіль),2,+4,6
4,ФК Північ (Чернігів),4,0,6
5,ФК Княжичі,3,+1,4
6,Фортуна (Березань),3,-1,3
7,ФК Форвард (с. Гора),2,-6,0
8,НСК Ураган (Бровари),3,-12,0
